LEX_CODE_LKD,PREDOMINANT_AGE_CODE,RED,GREEN,BLUE,LUMINANCE
WBRO,JN,175,224,241,215
BYGR,QP,254,240,191,239
MORP,CN,195,196,138,192
BESG,Q,254,248,154,242
BWCO,CN,195,196,138,192
COCH,AZ,253,187,100,195
Z,D,206,157,91,163
WOHE,Q,254,248,154,242
MTON,Q,254,248,154,242
BERI3,S,180,222,202,212
BOGH,O,0,167,141,130
BOUZ,O,0,167,141,130
HOMI,O,0,167,141,130
NEBAS,O,0,167,141,130
SUBH,O,0,167,141,130
CGOM,S,180,222,202,212
CGOM1,S,180,222,202,212
CGOM2,S,180,222,202,212
CGOM4,S,180,222,202,212
CTK,S,180,222,202,212
CULL,S,180,222,202,212
GLV,S,180,222,202,212
LBLG,S,180,222,202,212
RBDU,QH,254,243,239,245
RBD1,Q,254,248,154,242
RSB2,Q,254,248,154,242
GLRU,ST,189,229,221,219
CAML,ST,189,229,221,219
CBNU,SL,151,213,200,199
PWYD,AD,254,216,135,218
UIIE,E,141,171,119,161
HENM,AZ,253,187,100,195
VAFS,AZ,253,187,100,195
WELS,AZ,253,187,100,195
ORKG,AZ,253,187,100,195
MIOC,NM,254,242,0,227
MDVL,DM,242,203,134,206
SBBA,AZ,253,187,100,195
WHIL,DL,229,181,109,186
COBN,NM,254,242,0,227
GERU,GE,252,189,153,200
GDRU,GD,253,189,128,198
COED,AD,254,216,135,218
DCSV,AZ,253,187,100,195
DWH,AZ,253,187,100,195
OLLY,AZ,253,187,100,195
WALS,AP,240,89,120,123
SCKM,GY,251,179,139,191
QTZC,DA,242,235,207,234
BTON,N,254,223,44,217
RTD3A,Q,254,248,154,242
TEDO,AZ,253,187,100,195
DRPL,AZ,253,187,100,195
MACD,D,206,157,91,163
CUTL,AZ,253,187,100,195
TODU,AZ,253,187,100,195
ACFM,DM,242,203,134,206
LUSM,DM,242,203,134,206
TCM,DM,242,203,134,206
FRSB,DM,242,203,134,206
BGTI,QP,254,240,191,239
CFDO,JN,175,224,241,215
CACH,AZ,253,187,100,195
SCSG,QP,254,240,191,239
PLCU,GP,250,179,123,190
FLDY,GP,250,179,123,190
MAPA,DL,229,181,109,186
LONG,JN,175,224,241,215
STAI,JA,145,216,238,202
ROAD,JN,175,224,241,215
PLEX,GP,250,179,123,190
OSCL,JO,186,228,250,221
BADG,O,0,167,141,130
ABDW,SU,189,229,221,220
TIRA,SW,177,223,210,212
CMCC,SL,151,213,200,199
TYSA,SL,151,213,200,199
TRES,SL,151,213,200,199
NABR,SL,151,213,200,199
CBNS4,SL,151,213,200,199
DOLI,SS,192,226,212,217
GFN,QP,254,240,191,239
BANW,SW,177,223,210,212
CAGR,Q,254,248,154,242
RMDF1,QH,254,243,239,245
RMDF2,QH,254,243,239,245
TBXSG,QPM,255,241,208,241
SESKV,QH,254,243,239,245
MPSA,DI,242,211,146,212
LQU,QH,254,243,239,245
BGSI,G,249,170,111,183
LOFO,CW,152,195,201,186
NORDL,NM,254,242,0,227
MOSSA,NM,254,242,0,227
KHBR,P,231,102,73,127
FIBU,SU,189,229,221,220
BLBAI,GP,250,179,123,190
IRF,SU,189,229,221,220
ITD,QH,254,243,239,245
ITSBD,QH,254,243,239,245
ITSFD,QH,254,243,239,245
TECF,QP,254,240,191,239
WLS,CN,195,196,138,192
SHM,GP,250,179,123,190
RYNP,AZ,253,187,100,195
INSCH,O,0,167,141,130
YED,JO,186,228,250,221
AUSA,DL,229,181,109,186
N4,CN,195,196,138,192
T8T9,Q,254,248,154,242
NATIG,G,249,170,111,183
WGLND,G,249,170,111,183
TCDS,AZ,253,187,100,195
UDP,P,231,102,73,127
USD,D,206,157,91,163
UDD,D,206,157,91,163
CNSA,GE,252,189,153,200
BATU,GPL,254,198,137,205
AWSA,GPL,254,198,137,205
GNSC,AZ,253,187,100,195
USG,G,249,170,111,183
UDO,O,0,167,141,130
GRGS,AZ,253,187,100,195
GRCO,AZ,253,187,100,195
T3T4,QH,254,243,239,245
T5T6,Q,254,248,154,242
BCHN,QH,254,243,239,245
ERSK,QH,254,243,239,245
KILK,QH,254,243,239,245
BLRO,AZ,253,187,100,195
CGAR,AZ,253,187,100,195
RUPB,AZ,253,187,100,195
ANTA,AZ,253,187,100,195
PBUS,AZ,253,187,100,195
GNGS,AZ,253,187,100,195
KNLS,AZ,253,187,100,195
CUSH,D,206,157,91,163
CULS,TE,161,96,166,115
PRHM,AC,253,206,124,210
UMHA,AZ,253,187,100,195
UIO,O,0,167,141,130
MIGR,CN,195,196,138,192
BBLM,AZ,253,187,100,195
PTMN,AZ,253,187,100,195
ELRK,AZ,253,187,100,195
KNCG,AZ,253,187,100,195
GTWN,AZ,253,187,100,195
GLBA,AT,254,196,112,202
DAVA,AT,254,196,112,202
SLCD,AT,254,196,112,202
JYSH,AZ,253,187,100,195
JYVO,AZ,253,187,100,195
UMAZ,AZ,253,187,100,195
GFD,G,249,170,111,183
GRTO,O,0,167,141,130
HIBL,O,0,167,141,130
MOFE,D,206,157,91,163
COFG2,D,206,157,91,163
BTYH,AZ,253,187,100,195
HTKN,O,0,167,141,130
BGTN,S,180,222,202,212
GRTN,O,0,167,141,130
RTD1C,QP,254,240,191,239
RTD1B,QP,254,240,191,239
BARL,CV,172,189,137,181
BARL,CV,172,189,137,182
CONC,DM,242,203,134,206
GWMU,SL,151,213,200,199
YTW,AD,254,216,135,218
MHVO,CT,150,181,140,186
MHVO,CT,150,181,139,171
ROFU,KB,185,220,156,208
CGHY,AZ,253,187,100,195
GOTO,O,0,167,141,130
AD3,Q,254,248,154,242
OK2,Q,254,248,154,242
OK4,Q,254,248,154,242
OK3T4,Q,254,248,154,242
BICKM,QP,254,240,191,239
HAFOD,SU,189,229,221,220
DESA,SL,151,213,200,199
OSHP,AZ,253,187,100,195
ABIP,AZ,253,187,100,195
FPHS,AZ,253,187,100,195
LDLNU,Q,254,248,154,242
LEDS,S,180,222,202,212
CNSQ,S,180,222,202,212
LAIL2,S,180,222,202,212
BLSY,S,180,222,202,212
CNCS,S,180,222,202,212
AHBL,S,180,222,202,212
AVOG,S,180,222,202,212
LWHT,Q,254,248,154,242
UWHT,Q,254,248,154,242
EYCL,JE,115,198,238,183
FCFE,JN,175,224,241,215
RT14,Q,254,248,154,242
RT15,Q,254,248,154,242
CVD,Q,254,248,154,242
DVA,Q,254,248,154,242
KTLA,GS,252,198,128,204
OCKS,GP,250,179,123,190
BNHS,DL,229,181,109,186
GRNH,DL,229,181,109,186
FXMD,KA,207,230,176,221
WHCH,KA,207,230,176,221
GRGR,JB,158,219,238,207
LOHH,DL,229,181,109,186
KLPS,AZ,253,187,100,195
MESC,AZ,253,187,100,195
LLSY,S,180,222,202,212
TGHO,S,180,222,202,212
BRET,QP,254,240,191,239
PERT,QP,254,240,191,239
GDN,PLC,233,121,99,143
UEXD,D,206,157,91,163
ARES,AD,254,216,135,218
DCSH,JT,144,207,242,196
BENL,JA,145,216,238,202
GAL5,SA,176,224,210,212
GAL6,SA,176,224,210,212
LECL,DI,242,211,146,212
YEV,TU,187,158,202,167
HTFD,PLC,233,121,99,143
FLUV,Q,254,248,154,242
MIRS,JE,115,198,238,183
PIRS,JE,115,198,238,183
AIRS,JE,115,198,238,183
WENG,D,206,157,91,163
TAW1,QP,254,240,191,239
TAW3,QP,254,240,191,239
TAW6,QP,254,240,191,239
TAW8,QP,254,240,191,239
TOR1,QP,254,240,191,239
TOR5,QP,254,240,191,239
PET3,QP,254,240,191,239
PET4,QP,254,240,191,239
WHAT,Q,254,248,154,242
DULS,CV,172,189,137,181
DULS,CV,172,189,137,182
HBRID,G,249,170,111,183
CHEVP,DL,229,181,109,186
AILC,G,249,170,111,183
BALW,DL,229,181,109,186
NCHD,AD,254,216,135,218
SPGY,TC,198,170,210,179
HISA,Q,254,248,154,242
VAIL,GP,250,179,123,190
RIWO,KR,147,205,131,187
SBGF,QH,254,243,239,245
TRSA,DM,242,203,134,206
GRAD,DM,242,203,134,206
PWER,DI,242,211,146,212
PCGR,GO,253,198,144,206
COGR,NP,255,248,150,242
OSBY,JC,186,228,240,220
LANG,JC,186,228,240,220
OTFD,Q,254,248,154,242
T4T5,Q,254,248,154,242
T1T2,QH,254,243,239,245
RIDS,QH,254,243,239,245
MASAB,Q,254,248,154,242
CRTD,QP,254,240,191,239
TREF,SL,151,213,200,199
MYBA,SL,151,213,200,199
LLTI,ST,189,229,221,219
YMGH,SA,176,224,210,212
TAM2,Q,254,248,154,242
TAM4,Q,254,248,154,242
TAW11,QP,254,240,191,239
TROC,D,206,157,91,163
GW1B,Q,254,248,154,242
REA,GP,250,179,123,190
RBC,SW,177,223,210,212
PVO,AD,254,216,135,218
PTRS,DR,242,235,191,233
SPG,G,249,170,111,183
SNSH,AD,254,216,135,218
HGR,GE,252,189,153,200
HHB,SL,151,213,200,199
HHDY,G,249,170,111,183
HEN,ST,189,229,221,219
FSG,KP,194,224,164,213
FSTL,JS,74,192,238,170
FPGR,Q,254,248,154,242
FHW,QH,254,243,239,245
LAR,ST,189,229,221,219
RMDF,QH,254,243,239,245
DCON,Q,254,248,154,242
RTD8,Q,254,248,154,242
RTD6,Q,254,248,154,242
FLDI,Q,254,248,154,242
SKYL,GP,250,179,123,190
BOYL,AZ,253,187,100,195
MBPS,AZ,253,187,100,195
SOB,CV,172,189,137,181
SOB,CV,172,189,137,182
SOM,JE,115,198,238,183
SLSK,T,144,81,160,100
SKE,T,144,81,160,100
SHLG,SA,176,224,210,212
SHAP,DL,229,181,109,186
SGD,G,249,170,111,183
SGGL,JS,74,192,238,170
SD,G,249,170,111,183
SDVY,Q,254,248,154,242
SCWF,Q,254,248,154,242
FGCG,GP,250,179,123,190
DUSF,CV,172,189,137,181
DUSF,CV,172,189,137,182
ECG,KA,207,230,176,221
DUL,SW,177,223,210,212
DVK,O,0,167,141,130
DRU,CT,150,181,140,186
DRU,CT,150,181,139,171
ERRM,DL,229,181,109,186
TUSC,AZ,253,187,100,195
JUSA,TA,190,140,193,154
STCA,TR,224,196,221,204
LUND,T,144,81,160,100
HARR,TR,224,196,221,204
OGSC,Q,254,248,154,242
TCAR,AZ,253,187,100,195
LELP,KO,211,228,136,218
FAMA2,KC,233,238,154,231
LERI,KT,198,222,126,210
LENA,KT,198,222,126,210
TEMA2,KC,233,238,154,231
LAFL,KC,233,238,154,231
SBS,TE,161,96,166,115
SBV,GP,250,179,123,190
SCAA,DU,241,225,176,225
SBNB,JS,74,192,238,170
RUS,SO,230,242,232,239
SAG,DU,241,225,176,225
SAN,AZ,253,187,100,195
PLWF,TE,161,96,166,115
POMB,CN,195,196,138,192
PLSS,CV,172,189,137,181
PLSS,CV,172,189,137,182
PLG,Q,254,248,154,242
FBS,CT,150,181,140,186
FBS,CT,150,181,139,171
EMS,AZ,253,187,100,195
ELB,SU,189,229,221,220
EFB,DI,242,211,146,212
EBR,PLC,233,121,99,143
EDL,DV,243,224,158,223
GCS,DL,229,181,109,186
GHC,PLC,233,121,99,143
GBCY,Q,254,248,154,242
DADP,AZ,253,187,100,195
WHFL,KC,233,238,154,231
SCMA1,KC,233,238,154,231
HBFL,KS,222,230,145,222
FBMA3,KC,233,238,154,231
RBFL,KS,222,230,145,222
BUMA1,KS,222,230,145,222
BUMA4,KS,222,230,145,222
NAHG,KT,198,222,126,210
HGMA1,KO,211,228,136,218
BEFL,KO,211,228,136,218
SNFL,KT,198,222,126,210
GLMA2,KT,198,222,126,210
CAMA,KT,198,222,126,210
SOFL,KT,198,222,126,210
MEMA5,KE,187,217,119,204
AMTD,Q,254,248,154,242
HOMA2,KT,198,222,126,210
HOMA5,KT,198,222,126,210
HEBY,Q,254,248,154,242
MEAS,QH,254,243,239,245
PLMA,KE,187,217,119,204
MEMA1,KE,187,217,119,204
LTBS,JD,199,234,253,228
PDSH,CV,172,189,137,181
PDSH,CV,172,189,137,182
PBCB,CV,172,189,137,181
PBCB,CV,172,189,137,182
PECG,SL,151,213,200,199
NU,G,249,170,111,183
NSC,EF,182,219,175,208
NRD,QH,254,243,239,245
NLS,SS,192,226,212,217
NFD,AZ,253,187,100,195
NBE,QP,254,240,191,239
NDC,CN,195,196,138,192
OSS,JO,186,228,250,221
DAGL,AZ,253,187,100,195
DAIL,AZ,253,187,100,195
DAAF,AZ,253,187,100,195
CTS,JT,144,207,242,196
CSSH,CV,172,189,137,181
CSSH,CV,172,189,137,182
CSLL,JH,23,184,238,154
DM,SO,230,242,232,239
DMS,SR,164,217,201,204
LAMO,AZ,253,187,100,195
SAPE,AZ,253,187,100,195
DIS,TD,200,151,198,165
PEPH,AZ,253,187,100,195
BROR,JC,186,228,240,220
KTW,JD,199,234,253,228
LFIB,KP,194,224,164,213
BUHN,DR,242,235,191,233
BURT,JE,115,198,238,183
LOSE,JC,186,228,240,220
STRM,JO,186,228,250,221
MMMB,JI,212,240,252,235
MMT,SW,177,223,210,212
MODS,T,144,81,160,100
MLN,SL,151,213,200,199
MM1,T,144,81,160,100
MM6,T,144,81,160,100
MLLL,JS,74,192,238,170
MLHS,SR,164,217,201,204
MIM,D,206,157,91,163
MGRO,DI,242,211,146,212
MHCL,KP,194,224,164,213
GLY,SW,177,223,210,212
GKS,DU,241,225,176,225
GIT,Q,254,248,154,242
GHT,GP,250,179,123,190
KESF,QP,254,240,191,239
KCS,CV,172,189,137,181
KCS,CV,172,189,137,182
CUSL,DV,243,224,158,223
CWCL,JN,175,224,241,215
CVHS,CV,172,189,137,181
CVHS,CV,172,189,137,182
CSM,CV,172,189,137,181
CSM,CV,172,189,137,182
CSF,SL,151,213,200,199
CHM,KS,222,230,145,222
CGO,E,141,171,119,161
CHB,DU,241,225,176,225
CGC,CN,195,196,138,192
CGCK,KC,233,238,154,231
CEB,SU,189,229,221,220
CCRH,AZ,253,187,100,195
CDY,G,249,170,111,183
CDA,CV,172,189,137,181
CDA,CV,172,189,137,182
CBSG,AZ,253,187,100,195
COD,QH,254,243,239,245
COC,OH,167,217,192,204
COSM,DL,229,181,109,186
CMTS,QP,254,240,191,239
COLF,CV,172,189,137,181
COLF,CV,172,189,137,182
PTY,SO,230,242,232,239
MAUR,GP,250,179,123,190
MEYS,GP,250,179,123,190
WGR,QH,254,243,239,245
BASG,Q,254,248,154,242
NOGR,JO,186,228,250,221
POCH,JI,212,240,252,235
TIY,JI,212,240,252,235
MPMU,JC,186,228,240,220
LOTR,AZ,253,187,100,195
AWE,AZ,253,187,100,195
BUR,AD,254,216,135,218
BSSK,JC,186,228,240,220
BRY4,QH,254,243,239,245
BTF,JO,186,228,250,221
BSCH,CV,172,189,137,181
BSCH,CV,172,189,137,182
BSHM,TR,224,196,221,204
BSO,QP,254,240,191,239
BRMR,GL,250,191,151,200
BRH,AZ,253,187,100,195
BRW,ST,189,229,221,219
BRY1,QH,254,243,239,245
BP,G,249,170,111,183
BPBR,P,231,102,73,127
BPM,CV,172,189,137,181
BPM,CV,172,189,137,182
HEAD2,Q,254,248,154,242
LDE1,Q,254,248,154,242
TFD1,Q,254,248,154,242
ITDU1,Q,254,248,154,242
ALF1,Q,254,248,154,242
GYCK,KE,187,217,119,204
RSBO,Q,254,248,154,242
BNPT,Q,254,248,154,242
NGPA,G,249,170,111,183
KEIR,CN,195,196,138,192
GDRY,S,180,222,202,212
NWHAP,S,180,222,202,212
ACKN,G,249,170,111,183
LAIL,S,180,222,202,212
CNSP,S,180,222,202,212
INGL,DE,232,208,144,208
PDNEM,G,249,170,111,183
LDIST,O,0,167,141,130
HAWS,O,0,167,141,130
CREI,O,0,167,141,130
CORH,O,0,167,141,130
RCGG,O,0,167,141,130
RTS,AZ,253,187,100,195
LSGN,AZ,253,187,100,195
UICW,CW,152,195,201,186
UDCW,CW,152,195,201,186
BL3,Q,254,248,154,242
BL4,Q,254,248,154,242
BW2,Q,254,248,154,242
AR3T4,Q,254,248,154,242
RO2,Q,254,248,154,242
RO3,Q,254,248,154,242
MO1T2,Q,254,248,154,242
LAT1,Q,254,248,154,242
LAT4,Q,254,248,154,242
ARFS,CV,172,189,137,181
ARFS,CV,172,189,137,182
EYF,JN,175,224,241,215
PTSL,AZ,253,187,100,195
DLBS,DA,242,235,207,234
DLF,SL,151,213,200,199
DCRG,AZ,253,187,100,195
DCGD,AZ,253,187,100,195
DCGY,AZ,253,187,100,195
DCBI,AZ,253,187,100,195
DBSS,AZ,253,187,100,195
DBTV,AZ,253,187,100,195
DCGL,AZ,253,187,100,195
DBKT,AZ,253,187,100,195
DBN,SW,177,223,210,212
DBLC,AZ,253,187,100,195
SEEL,JO,186,228,250,221
PHLP,JT,144,207,242,196
WITH,S,180,222,202,212
RSVR,ST,189,229,221,219
SASA,CW,152,195,201,186
BLMU,TA,190,140,193,154
LYBV,AZ,253,187,100,195
LCHA,SU,189,229,221,220
WHIT,SD,214,237,231,231
PBLV,PLC,233,121,99,143
P3,CN,195,196,138,192
ORVD,Q,254,248,154,242
NWTG,AZ,253,187,100,195
OGL,Q,254,248,154,242
PRO,SL,151,213,200,199
PTG,SR,164,217,201,204
POCR,DL,229,181,109,186
DBMF,AZ,253,187,100,195
DBSG,AZ,253,187,100,195
DBAG,AZ,253,187,100,195
DBEQ,AZ,253,187,100,195
DBFB,AZ,253,187,100,195
DBBG,AZ,253,187,100,195
DBBS,AZ,253,187,100,195
DBCG,AZ,253,187,100,195
DAPL,AZ,253,187,100,195
DAWL,AZ,253,187,100,195
DAL,CN,195,196,138,192
DADS,AZ,253,187,100,195
CNW,SL,151,213,200,199
CNL,JN,175,224,241,215
CLOB,AZ,253,187,100,195
BLWR,AZ,253,187,100,195
GHQU,AZ,253,187,100,195
CAQU,AZ,253,187,100,195
DUFF,AZ,253,187,100,195
WLH,CT,150,181,140,186
WLH,CT,150,181,139,171
INS,DM,242,203,134,206
CCO,P,231,102,73,127
CLSL,TE,161,96,166,115
FIFL,AZ,253,187,100,195
LWHB,SD,214,237,231,231
MAC,CN,195,196,138,192
MADS,G,249,170,111,183
LSG,SU,189,229,221,220
LSK,SL,151,213,200,199
LSF,DI,242,211,146,212
LSA,DM,242,203,134,206
LPV,AP,240,89,120,123
LNG,GO,253,198,144,206
LP,G,249,170,111,183
LPL,DL,229,181,109,186
CKSI,KE,187,217,119,204
CHBS,KA,207,230,176,221
CBCA,JC,186,228,240,220
LAMM,O,0,167,141,130
DOHT,G,249,170,111,183
SKRK,G,249,170,111,183
SKWY,G,249,170,111,183
RT11A,Q,254,248,154,242
RT12B,Q,254,248,154,242
GIBH,AZ,253,187,100,195
ARDM,AZ,253,187,100,195
MBSL,AZ,253,187,100,195
HGHG,KO,211,228,136,218
LEMA,KT,198,222,126,210
MSA,TA,190,140,193,154
MSI,G,249,170,111,183
MNG,GP,250,179,123,190
MM5,T,144,81,160,100
MLCG,SR,164,217,201,204
MINO,JB,158,219,238,207
CDLP,CN,195,196,138,192
CEF,SD,214,237,231,231
CFCO,O,0,167,141,130
CCF,TE,161,96,166,115
CRB,JB,158,219,238,207
COCM,DL,229,181,109,186
CPLF,O,0,167,141,130
CNLS,CV,172,189,137,181
CNLS,CV,172,189,137,182
CORO,DP,232,198,134,200
COT,TC,198,170,210,179
WAH,CV,172,189,137,181
WAH,CV,172,189,137,182
WASD,O,0,167,141,130
VEL,DI,242,211,146,212
VC,SO,230,242,232,239
UPRT,AP,240,89,120,123
UOT,AZ,253,187,100,195
UNVC,CV,172,189,137,181
UNVC,CV,172,189,137,182
UND,SD,214,237,231,231
MKN,P,231,102,73,127
TWGR,GE,252,189,153,200
TCAM,AZ,253,187,100,195
MFB,DI,242,211,146,212
MCG,JO,186,228,250,221
MB,AZ,253,187,100,195
MBD,Q,254,248,154,242
LLGD,CV,172,189,137,181
LLGD,CV,172,189,137,182
LLC,DE,232,208,144,208
LITC,JO,186,228,250,221
PGU,G,249,170,111,183
HAW,TE,161,96,166,115
HYB,JO,186,228,250,221
NPCH,KT,198,222,126,210
SRA,OH,167,217,192,204
WPF,GY,251,179,139,191
SN,AZ,253,187,100,195
KEY,AZ,253,187,100,195
BKML,JS,74,192,238,170
CRR,AZ,253,187,100,195
SUH,AZ,253,187,100,195
BOM,TA,190,140,193,154
BSF,SS,192,226,212,217
YS,JT,144,207,242,196
YWOL,AD,254,216,135,218
YR,CT,150,181,140,186
YR,CT,150,181,139,171
WWB,JO,186,228,250,221
WTA,DA,242,235,207,234
WQB,SD,214,237,231,231
WOSG,Q,254,248,154,242
LGM,SL,151,213,200,199
LGN,G,249,170,111,183
LGRC,KV,159,209,140,193
LFCL,CN,195,196,138,192
LGB,SL,151,213,200,199
LGBM,SD,214,237,231,231
KMN,SL,151,213,200,199
TPG,O,0,167,141,130
RTD2,Q,254,248,154,242
DBLW,AZ,253,187,100,195
VAG,DL,229,181,109,186
TCAS,AZ,253,187,100,195
SMG,DL,229,181,109,186
PWG,AD,254,216,135,218
PY,AZ,253,187,100,195
WI,JO,186,228,250,221
WFGR,Q,254,248,154,242
UDB,SL,151,213,200,199
UCE,JD,199,234,253,228
TSA,DM,242,203,134,206
TSIF,O,0,167,141,130
TRSD,T,144,81,160,100
TPR,GP,250,179,123,190
LDNM,JE,115,198,238,183
LCE,JD,199,234,253,228
LDSL,DA,242,235,207,234
LDVS,DL,229,181,109,186
LBB,SO,230,242,232,239
LO,AZ,253,187,100,195
GWST,SA,176,224,210,212
GYB,SU,189,229,221,220
GYSH,CV,172,189,137,181
GYSH,CV,172,189,137,182
FRIS,GEE,251,179,139,191
KCA,SD,214,237,231,231
BARB,JT,144,207,242,196
HERS,GE,252,189,153,200
SPLI,JE,115,198,238,183
SGUO,Q,254,248,154,242
DICL,JE,115,198,238,183
CANS,KA,207,230,176,221
BTSH,TE,161,96,166,115
BTC,KC,233,238,154,231
SWMS,CN,195,196,138,192
STS,DE,232,208,144,208
STR,SW,177,223,210,212
STA,JE,115,198,238,183
SSI,G,249,170,111,183
TP,G,249,170,111,183
TOB,ST,189,229,221,219
HAF,CN,195,196,138,192
GWC,SA,176,224,210,212
GSN,SL,151,213,200,199
GRCK,KC,233,238,154,231
GILN,O,0,167,141,130
JRB,JT,144,207,242,196
DABA,AZ,253,187,100,195
ABGS,SL,151,213,200,199
ALF,Q,254,248,154,242
AMC,JO,186,228,250,221
KBR,P,231,102,73,127
HUL,TE,161,96,166,115
TKP,G,249,170,111,183
TLG,SL,151,213,200,199
TCF,CV,172,189,137,181
TCF,CV,172,189,137,182
ULCT,AZ,253,187,100,195
UE,JN,175,224,241,215
ROF,DI,242,211,146,212
RNB,JI,212,240,252,235
KCF,DM,242,203,134,206
IOSK,JB,158,219,238,207
JURU,JU,171,225,251,215
JNF,DL,229,181,109,186
IGBD,QP,254,240,191,239
HLG,AD,254,216,135,218
BRMU,DE,232,208,144,208
BRNS,JS,74,192,238,170
BRFR,GL,250,191,151,200
BRB,GE,252,189,153,200
BRDF,SL,151,213,200,199
BRDY,G,249,170,111,183
BNRS,JI,212,240,252,235
BMM,SL,151,213,200,199
HWH,GY,251,179,139,191
RHNC,DP,232,198,134,200
RDWL,DV,243,224,158,223
PCS,Q,254,248,154,242
OSTB,Q,254,248,154,242
PBSU,KP,194,224,164,213
PCB,SW,177,223,210,212
OOM,JA,145,216,238,202
PAB,SO,230,242,232,239
OXCT,JO,186,228,250,221
ORD,O,0,167,141,130
LGG,SL,151,213,200,199
LET,JB,158,219,238,207
LFB,SG,201,233,230,225
KT,DA,242,235,207,234
KNG,ST,189,229,221,219
KNY,JN,175,224,241,215
KMS,T,144,81,160,100
KLS,JC,186,228,240,220
HAG,DM,242,203,134,206
HALG,CN,195,196,138,192
GA,SL,151,213,200,199
FT,DV,243,224,158,223
FRES,JI,212,240,252,235
FNTL,JS,74,192,238,170
FORA,Q,254,248,154,242
FORC,Q,254,248,154,242
FLPT,Q,254,248,154,242
FHLS,CV,172,189,137,181
FHLS,CV,172,189,137,182
DBJT,AZ,253,187,100,195
DBKQ,AZ,253,187,100,195
DBMH,AZ,253,187,100,195
DBNQ,AZ,253,187,100,195
DBIS,AZ,253,187,100,195
DBLE,AZ,253,187,100,195
DBLT,AZ,253,187,100,195
DBDU,AZ,253,187,100,195
DBIJ,AZ,253,187,100,195
DBF,SL,151,213,200,199
DBGT,AZ,253,187,100,195
DBDS,AZ,253,187,100,195
DBAS,AZ,253,187,100,195
DBCR,AZ,253,187,100,195
DBDF,AZ,253,187,100,195
DBDH,AZ,253,187,100,195
DBDP,AZ,253,187,100,195
DASC,AZ,253,187,100,195
DBBO,AZ,253,187,100,195
DBBU,AZ,253,187,100,195
ORTL,CT,150,181,140,186
ORTL,CT,150,181,139,171
OH,GY,251,179,139,191
OGC,CN,195,196,138,192
OM,DL,229,181,109,186
OMS,TE,161,96,166,115
NWS,DE,232,208,144,208
OAL,Q,254,248,154,242
NTN,P,231,102,73,127
OBR,P,231,102,73,127
NW,AZ,253,187,100,195
PWS,DA,242,235,207,234
PRR,O,0,167,141,130
POW,CV,172,189,137,181
POW,CV,172,189,137,182
KLB,JC,186,228,240,220
KFC,DM,242,203,134,206
KBT,GP,250,179,123,190
LEB,SO,230,242,232,239
LCRL,CV,172,189,137,181
LCRL,CV,172,189,137,182
LEL,SG,201,233,230,225
FGSG,Q,254,248,154,242
FGT,Q,254,248,154,242
FB,SW,177,223,210,212
CCA,SW,177,223,210,212
CARB,C,103,174,178,159
CASG,CV,172,189,137,181
CASG,CV,172,189,137,182
CBG,KE,187,217,119,204
CAB,DL,229,181,109,186
BYS,DA,242,235,207,234
CHR,JN,175,224,241,215
KLM,DL,229,181,109,186
GCGF,DL,229,181,109,186
BENS,AD,254,216,135,218
SYP,AD,254,216,135,218
TFWL,CV,172,189,137,181
TFWL,CV,172,189,137,182
WBY,TR,224,196,221,204
MTB,DA,242,235,207,234
RNHM,AZ,253,187,100,195
SAPH,AZ,253,187,100,195
UNKM,SD,214,237,231,231
MALC,DL,229,181,109,186
TUT,TN,211,182,213,190
CMBS,GL,250,191,151,200
BDSG,DI,242,211,146,212
BDY,JN,175,224,241,215
BGLC,DL,229,181,109,186
BGLA,DL,229,181,109,186
BGBL,GE,252,189,153,200
BGG,SL,151,213,200,199
BGSH,SL,151,213,200,199
BGUA,DM,242,203,134,206
SDGR,QP,254,240,191,239
PA,Q,254,248,154,242
TV,Q,254,248,154,242
WV,QP,254,240,191,239
FL,QP,254,240,191,239
WMLO,Q,254,248,154,242
STPH,AZ,253,187,100,195
KITH,AZ,253,187,100,195
TDCO,DL,229,181,109,186
BALH,DO,229,188,122,191
NGT,JO,186,228,250,221
NTH,JO,186,228,250,221
MAVO,PLC,233,121,99,143
NEPT,KL,149,204,121,186
RONA,J,1,186,233,150
BHSG,Q,254,248,154,242
BIMU,SU,189,229,221,220
BIRV,DA,242,235,207,234
BKD,SW,177,223,210,212
BKHM,JS,74,192,238,170
BMB,DA,242,235,207,234
BMC,KC,233,238,154,231
BLRS,ST,189,229,221,219
BLD,G,249,170,111,183
BLBL,SD,214,237,231,231
DASHR,JN,175,224,241,215
RLGS,AZ,253,187,100,195
WGG,AR,237,0,140,60
MARRS,AR,237,0,140,60
BOOCL,JN,175,224,241,215
CRAM,GR,255,219,171,223
LAFM,GI,253,208,177,215
RPS,KV,159,209,140,193
RRC,SW,177,223,210,212
PRBU,SD,214,237,231,231
PMS,G,249,170,111,183
PLC,JN,175,224,241,215
PHM,SS,192,226,212,217
PKE,PLC,233,121,99,143
PKLF,ST,189,229,221,219
MES,JB,158,219,238,207
MDVS,DM,242,203,134,206
MDB,ST,189,229,221,219
INF,DM,242,203,134,206
ISC,Q,254,248,154,242
ISMS,KE,187,217,119,204
HTHN,CW,152,195,201,186
HYDL,JH,23,184,238,154
HSK,DM,242,203,134,206
HST,KH,171,213,147,199
HRS,CV,172,189,137,181
HRS,CV,172,189,137,182
